name,sku,description,image_url,category
Coltello multiruolo a  lama fissa,dwht1-10354,"Coltello multiruolo a  lama fissa

Il coltello multiruolo DEWALT  è dotato di lama in acciaio inox da 90 mm e fodero in plastica. Impugnatura in gomma di grande comfort e per una presa ottimale e asola per laccetto.",/images/dewalt_products_resto/Coltellomultiruoloalamafissa.webp,N/A
Set 22 pezzi chiavi a bussola attacco 1/2'',dwmt19241-1,"Set 22 pezzi chiavi a bussola attacco 1/2''

Il set 22 pezzi chiavi a bussola attacco 1/2'' DEWALT  comprende una ampia scelta di chiavi a bussola ed accessori. Bussole con profilo DirectTorque™ che riduce la possibilità di arrotondamento dei bulloni.",/images/dewalt_products_resto/Set22pezzichiaviabussolaattacco12.webp,N/A
DWMT19237-1,dwmt19237-1,"DWMT19237-1

Il set 18 pezzi chiavi combinate DEWALT con finitura cromata, offre una ampia scelta misure per ogni tipo di applicazione. Profilo dell'anello  con tecnologia DirectTorque™ che riduce la possibilità di arrotondamento dei bulloni.",/images/dewalt_products_resto/DWMT19237-1.webp,N/A
Set 7 pezzi chiavi a bussola macchina attacco 1/2'',dwmt74737-0,"Set 7 pezzi chiavi a bussola macchina attacco 1/2''

The DEWALT® 7 Piece Deep Impact Socket set offers a variety of impact sockets for any user need. The set comes in a lockable stacking case for easy storage.",/images/dewalt_products_resto/Set7pezzichiaviabussolamacchinaattacco12.webp,N/A
Set 10 pezzi accessori macchina attacco misto 3/8'' e 1/2'',dwmt74741-0,"Set 10 pezzi accessori macchina attacco misto 3/8'' e 1/2''

Il Set DEWALT 10 pezzi accessori macchina attacco misto 3/8'' e 1/2''offre una grande scelta di accessori per ogni utilizzo. la finitura nera garantisce durata e resistenza alla corrosione. La valigetta protegge il contenuto e  consente la trasportabilità.",/images/dewalt_products_resto/Set10pezziaccessorimacchinaattaccomisto38e12.webp,N/A
Set 7 pezzi chiavi a cricchetto corte,dwmt19261-0,"Set 7 pezzi chiavi a cricchetto corte

Il set 7 pezzi chiavi a cricchetto corte DEWALT comprende una ampia scelta di misure. Finitura cromata. Cricchetto a 72 denti con angolo di ripresa di 5°.",/images/dewalt_products_resto/Set7pezzichiaviacricchettocorte.webp,N/A
"Set 205 pezzi chiavi a bussola attacco misto 1/4'', 3/8'' e 1/2'' - misure metriche e pollici",dwmt81534-1,"Set 205 pezzi chiavi a bussola attacco misto 1/4'', 3/8'' e 1/2'' - misure metriche e pollici

The DEWALT® 205-piece tool set includes the ratchets and sockets you need for almost any mechanical job. It also comes with a bit driver, specialty and nut bits, combination wrenches, and hex keys. The set comes in a durable blow-molded case with metal latches for security. This set of tools is built to meet the demands of hard-working professionals with a full-polish finish that provides corrosion resistance.",/images/dewalt_products_resto/Set205pezzichiaviabussolaattaccomisto1438e12-misuremetricheepollici.webp,N/A
Martello XP grande velocità 340 g,dwht51135-0,"Martello XP grande velocità 340 g

Il martello DEWALT grande velocità da 340 g ha una potenza pari ad un martello da 567 g. Completamente in acciaio di grande durata . Incavo portachiodo magnetico per utilizzo con una mano.L'impugnatura assorbe le vibrazioni per maggior comfort dell'utilizzatore. La penna può essere utilizzata anche per l'estrazione dei chiodi.",/images/dewalt_products_resto/MartelloXPgrandevelocità340g.webp,N/A
Giravite porta inserti a cricchetto con barra telescopica,dwht0-66567,"Giravite porta inserti a cricchetto con barra telescopica

Giravite porta inserti a cricchetto DEWALT con barra telescopica. Punte progettate con precisione per un perfetto serraggio. La barra telescopica consente la regolazione in lunghezza. Dotato di punta magnetica.",/images/dewalt_products_resto/Giraviteportainsertiacricchettoconbarratelescopica.webp,N/A
Treppiede regolabile 1/4,de0733-xj,"Treppiede regolabile 1/4

",/images/dewalt_products_resto/Treppiederegolabile14.webp,N/A
1 Inserto PZ2 Flex Torq - Lunghezza 152mm,dt7801t-qz,"1 Inserto PZ2 Flex Torq - Lunghezza 152mm

",/images/dewalt_products_resto/1InsertoPZ2FlexTorq-Lunghezza152mm.webp,N/A
1 Inserto T25 Flex Torq - Lunghezza 152mm,dt7803t-qz,"1 Inserto T25 Flex Torq - Lunghezza 152mm

",/images/dewalt_products_resto/1InsertoT25FlexTorq-Lunghezza152mm.webp,N/A
1 Inserto PH2 Flex Torq - Lunghezza 152mm,dt7800t-qz,"1 Inserto PH2 Flex Torq - Lunghezza 152mm

",/images/dewalt_products_resto/1InsertoPH2FlexTorq-Lunghezza152mm.webp,N/A
1 Inserto T30 Flex Torq - Lunghezza 152mm,dt7804t-qz,"1 Inserto T30 Flex Torq - Lunghezza 152mm

",/images/dewalt_products_resto/1InsertoT30FlexTorq-Lunghezza152mm.webp,N/A
1 Inserto T20 Flex Torq - Lunghezza 152mm,dt7802t-qz,"1 Inserto T20 Flex Torq - Lunghezza 152mm

",/images/dewalt_products_resto/1InsertoT20FlexTorq-Lunghezza152mm.webp,N/A
"1/4"" Thread Mini Tripod",de0881t-xj,"1/4"" Thread Mini Tripod

",/images/dewalt_products_resto/14ThreadMiniTripod.webp,N/A
Martello XP Martello gr. 454,dwht51003-0,"Martello XP Martello gr. 454

Con questo martello d'acciaio da 16 oz. Martello in acciaio Rip Claw da 16 once. Questo martello multifunzione è ideale per una serie di applicazioni, tra cui spaccare, demolire e fare leva. Il suo design bilanciato consente un'oscillazione fluida e costante, mentre la tecnologia Tri-Pull aiuta a rimuovere punti metallici, chiodi per intelaiatura e chiodi di finitura. Il martello ad alta resistenza è costruito in un unico pezzo d'acciaio per garantire prestazioni di lunga durata ed è dotato di un avviamento magnetico integrato per il posizionamento dei chiodi con una sola mano.",/images/dewalt_products_resto/MartelloXPMartellogr454.webp,N/A
Cesoie da lattoniere taglio diritto,dwht14675-0,"Cesoie da lattoniere taglio diritto

Le cesoie da lattoniere DEWALT presentano una minor apertura delle impugnature che consentono un minor sforzo nel taglio dei materiali. Questo utensile viene tradizionalmente usato per il taglio di fogli di alluminio, rivestimenti in vinile, lastre di cartongesso, cuoio, rame e fogli di metallo da 22-Gauge. La forma innovativa delle punte permette un taglio pulito. Le impugnature Bi Material assicurano una presa confortevole",/images/dewalt_products_resto/Cesoiedalattonieretagliodiritto.webp,N/A
Asta graduata combinata,de0737-xj,"Asta graduata combinata

",/images/dewalt_products_resto/Astagraduatacombinata.webp,N/A
Laser a Linea 720 XR Litio 10.8V 2.0Ah Raggio Verde,dce0811d1g-qw,"Laser a Linea 720 XR Litio 10.8V 2.0Ah Raggio Verde

",/images/dewalt_products_resto/LaseraLinea720XRLitio108V20AhRaggioVerde.webp,N/A
"SISTEMA FLIP & DRIVE set composto da 15 pezzi assortiti: punte per forare, svasare 6, 8, 10, 12. Inserti 25mm: PH1 x 1, PH2 x 2, PZ2 x 3, PZ3 x 2, T15 x 1, T20 x 2, T25 x 2, T30 x 2, connettore attacco rapido",dt70779t-qz,"SISTEMA FLIP & DRIVE set composto da 15 pezzi assortiti: punte per forare, svasare 6, 8, 10, 12. Inserti 25mm: PH1 x 1, PH2 x 2, PZ2 x 3, PZ3 x 2, T15 x 1, T20 x 2, T25 x 2, T30 x 2, connettore attacco rapido

",/images/dewalt_products_resto/SISTEMAFLIPDRIVEsetcompostoda15pezziassortitipunteperforaresvasare681012Inserti25mmPH1x1PH2x2PZ2x3PZ3x2T15x1T20x2T25x2T30x2connettoreattaccorapido.webp,N/A
DCD999 + DCF850 with 2 x PS 5Ah,dck2052h2t-qw,"DCD999 + DCF850 with 2 x PS 5Ah

",/images/dewalt_products_resto/DCD999DCF850with2xPS5Ah.webp,N/A
Martello graffatore in fibra composita di carbonio,dwht75900-0,"Martello graffatore in fibra composita di carbonio

Martello graffatore DEWALT in fibra composita di carbonio ha una struttura leggera che riduce le vibrazioni e permette all'utilizzatore di lavorare più a lungo con meno sforzo.",/images/dewalt_products_resto/Martellograffatoreinfibracompositadicarbonio.webp,N/A
Martello XP 567 g,dwht51380-0,"Martello XP 567 g

The DEWALT® 567g (20 oz.) 1 pc. Steel Hammer ideal for your next finishing or framing job. With its updated technology, this hammer offers less sting to help reduce arm fatigue and  improved grip durability. This hammer has a thick, heat-treated shaft for added durability in tough conditions. Quickly remove finish, framing and large construction nails as well as staples with its versatile pulling features.",/images/dewalt_products_resto/MartelloXP567g.webp,N/A
Martello XP 624 g,dwht51381-0,"Martello XP 624 g

Il Martello DEWALT  XP 624 g è ideale per i lavori di finitura. Con impugnatura estremamente robusta che riduce significativamente le vibrazioni. Manico a sezione maggiorata in acciaio temprato per maggior durata, resistente anche agli impieghi più pesanti. Sezione del manico ottimizzata che disperde le vibrazioni in maniera più efficace. Tre incavi per l'estrazione dei chiodi di 3 diverse dimensioni.",/images/dewalt_products_resto/MartelloXP624g.webp,N/A
Martello XP 454 g,dwht51379-0,"Martello XP 454 g

Il Martello DEWALT  XP 454 g è ideale per i lavori di finitura. Con impugnatura estremamente robusta che riduce significativamente le vibrazioni. Manico a sezione maggiorata in acciaio temprato per maggior durata, resistente anche agli impieghi più pesanti. Sezione del manico ottimizzata che disperde le vibrazioni in maniera più efficace. Tre incavi per l'estrazione dei chiodi di 3 diverse dimensioni.",/images/dewalt_products_resto/MartelloXP454g.webp,N/A
Treppiede telescopico per laser,de0735-xj,"Treppiede telescopico per laser

",/images/dewalt_products_resto/Treppiedetelescopicoperlaser.webp,N/A
Treppiede per livella laser,de0736-xj,"Treppiede per livella laser

",/images/dewalt_products_resto/Treppiedeperlivellalaser.webp,N/A
Staffa graduata,de0734-xj,"Staffa graduata

",/images/dewalt_products_resto/Staffagraduata.webp,N/A
Laser rotante con raggio rosso 18V,dce080d1rs-qw,"Laser rotante con raggio rosso 18V

",/images/dewalt_products_resto/Laserrotanteconraggiorosso18V.webp,N/A
Laser rotante raggio verde 18V XR  Tool Connect - 1 X 2Ah,dce080d1gs-qw,"Laser rotante raggio verde 18V XR  Tool Connect - 1 X 2Ah

",/images/dewalt_products_resto/Laserrotanteraggioverde18VXRToolConnect-1X2Ah.webp,N/A
Misuratore laser di distanze - 50 metri,dw03050-xj,"Misuratore laser di distanze - 50 metri

The DEWALT DW03050 laser distance measure has a range of up to 50 metres and an accuracy of +/-1.5mm. The measure provides distance, area, volume and indirect height (Pythagoras) calculations. Durable design with IP 54 rated water and debris resistance. Use with DEWALT Tool Connect App for more applications.",/images/dewalt_products_resto/Misuratorelaserdidistanze-50metri.webp,N/A
30m Laser Distance Measure with Bluetooth,dw099s-xj,"30m Laser Distance Measure with Bluetooth

The DeWALT® DW099S laser distance measurer has a range of up to 30m and an accuracy of +/-2mm. The laser provides linear metre readings, area and volume calculations. Durable design with IP 54 rated water and debris resistance. Use with DeWALT® App Tool Connect for more applications.",/images/dewalt_products_resto/30mLaserDistanceMeasurewithBluetooth.webp,N/A
Misuratore laser di distanze - 100 metri,dw03101-xj,"Misuratore laser di distanze - 100 metri

The DEWALT DW03101 laser distance measure has a range of up to 100 metres and an accuracy of +/-1.5mm. The laser provides distance, area, volume and indirect height (Pythagoras) calculations. Durable design with IP 54 rated water and debris resistance. Use with DEWALT Tool Connect App for more features.",/images/dewalt_products_resto/Misuratorelaserdidistanze-100metri.webp,N/A
1000 x Viti nastrate per cartongesso 25x3.9mm,dwf4100650,"1000 x Viti nastrate per cartongesso 25x3.9mm

Viti nastrate per cartongesso  caratterizzate da una testa a trombetta che svasano nella lastra di gesso senza strappare lo strato superiore, fissandosi leggermente al di sotto della superficie per una finitura pulita. La superficie curva sotto la testa forma delicatamente il materiale di base senza schiacciarsi. Le viti sono nastrate in una striscia, progettata specificamente per un'installazione facile e senza inceppamenti.",/images/dewalt_products_resto/1000xVitinastratepercartongesso25x39mm.webp,N/A
"1000+1 cartongesso sciolto 35x3,9 mm filo grosso (+ bit)",dwf4010015,"1000+1 cartongesso sciolto 35x3,9 mm filo grosso (+ bit)

A range of loose packed drywall screws featuring a bugle head which countersinks into plaster sheet without tearing the top layer, or a flat head with nibs specifically designed for use with FERMACELL® board. ͍The bugle head screws will set slightly below the surface for a neat finish and the curved surface under the head gently forms the base material without crushing. ͍The flat head with nibs screws feature nibs under the head which ream through FERMACELL® board, which allows the head to sit below the surface, facilitating easy filling.",/images/dewalt_products_resto/10001cartongessosciolto35x39mmfilogrossobit.webp,N/A
Livella laser + linea verticale e oriozzontale + 2 punti piombo - Raggio rosso,dw0822-xj,"Livella laser + linea verticale e oriozzontale + 2 punti piombo - Raggio rosso

",/images/dewalt_products_resto/Livellalaserlineaverticaleeoriozzontale2puntipiombo-Raggiorosso.webp,N/A
Livella laser linea 360° + linea verticale - Raggio rosso,dw0811-xj,"Livella laser linea 360° + linea verticale - Raggio rosso

",/images/dewalt_products_resto/Livellalaserlinea360lineaverticale-Raggiorosso.webp,N/A
"Tracciatore laser con raggio rosso, classe 2. Proietta: 2 linee a croce orizzontale e verticale + 2 punti a piombo.",dce0822d1r-qw,"Tracciatore laser con raggio rosso, classe 2. Proietta: 2 linee a croce orizzontale e verticale + 2 punti a piombo.

",/images/dewalt_products_resto/Tracciatorelaserconraggiorossoclasse2Proietta2lineeacroceorizzontaleeverticale2puntiapiombo.webp,N/A
"Tracciatore laser con raggio rosso, classe 2. Proietta: 2 linee a croce orizzontale e verticale + 5 punti: 2 a piombo + 1 punto frontale + 2 punti laterali a 90°.",dce0825d1r-qw,"Tracciatore laser con raggio rosso, classe 2. Proietta: 2 linee a croce orizzontale e verticale + 5 punti: 2 a piombo + 1 punto frontale + 2 punti laterali a 90°.

",/images/dewalt_products_resto/Tracciatorelaserconraggiorossoclasse2Proietta2lineeacroceorizzontaleeverticale5punti2apiombo1puntofrontale2puntilateralia90.webp,N/A
"Tracciatore laser con raggio verde, classe 2. Proietta: 2 linee a croce orizzontale e verticale + 5 punti: 2 a piombo + 1 punto frontale + 2 punti laterali a 90°.",dce0825d1g-qw,"Tracciatore laser con raggio verde, classe 2. Proietta: 2 linee a croce orizzontale e verticale + 5 punti: 2 a piombo + 1 punto frontale + 2 punti laterali a 90°.

",/images/dewalt_products_resto/Tracciatorelaserconraggioverdeclasse2Proietta2lineeacroceorizzontaleeverticale5punti2apiombo1puntofrontale2puntilateralia90.webp,N/A
Laser a 5 Punti XR Litio 10.8V 2.0Ah Raggio Rosso,dce085d1r-qw,"Laser a 5 Punti XR Litio 10.8V 2.0Ah Raggio Rosso

",/images/dewalt_products_resto/Lasera5PuntiXRLitio108V20AhRaggioRosso.webp,N/A
Laser a 5 Punti XR Litio 10.8V 2.0Ah Raggio Rosso,dce085d1g-qw,"Laser a 5 Punti XR Litio 10.8V 2.0Ah Raggio Rosso

",/images/dewalt_products_resto/Lasera5PuntiXRLitio108V20AhRaggioRosso.webp,N/A
Laser rotante con raggio verde di alta visibilità e batteria ricaricabile da 18V.,dce079d1g-qw,"Laser rotante con raggio verde di alta visibilità e batteria ricaricabile da 18V.

Self Levelling 360° Rotary Laser projects bright beam either horizontally or vertically. Durable design with IP67 rated water and debris resistance makes it ideal for outdoor applications. Manual RPM Control. Easy to use with full onboard and remote control panel. Long range visibility.",/images/dewalt_products_resto/Laserrotanteconraggioverdedialtavisibilitàebatteriaricaricabileda18V.webp,N/A
Laser rotante con raggio rosso. Autolivellante con raggio orizzontale.,dce074d1r-qw,"Laser rotante con raggio rosso. Autolivellante con raggio orizzontale.

Self levelling 360° Rotary Laser projects bright beam either horizontally or vertically. Durable design with IP54 rated water and debris resistance makes it ideal for outdoor applications. Manual RPM Control. Easy to use with full onboard Panel. Long range visibility.",/images/dewalt_products_resto/LaserrotanteconraggiorossoAutolivellanteconraggioorizzontale.webp,N/A
Laser rotante con raggio rosso.,dce079d1r-qw,"Laser rotante con raggio rosso.

",/images/dewalt_products_resto/Laserrotanteconraggiorosso.webp,N/A
30M DISTANCE MEASURER,dw033-xj,"30M DISTANCE MEASURER

The DeWALT® DW033 laser distance measurer has a range of up to 30 metres and an accuracy of +/-3mm. The laser provides linear metre readings, area and volume calculations. Durable design with IP 40 rated water and debris resistance.",/images/dewalt_products_resto/30MDISTANCEMEASURER.webp,N/A
Laser a Linea 720 XR Litio 10.8V 2.0Ah Raggio Rosso,dce0811d1r-qw,"Laser a Linea 720 XR Litio 10.8V 2.0Ah Raggio Rosso

",/images/dewalt_products_resto/LaseraLinea720XRLitio108V20AhRaggioRosso.webp,N/A
Laser a Croce XR Litio 10.8V 2.0Ah Raggio Verde,dce088d1g-qw,"Laser a Croce XR Litio 10.8V 2.0Ah Raggio Verde

",/images/dewalt_products_resto/LaseraCroceXRLitio108V20AhRaggioVerde.webp,N/A
Laser 3 Linee 360° XR Litio 10.8V 2.0Ah Raggio Verde,dce089d1g-qw,"Laser 3 Linee 360° XR Litio 10.8V 2.0Ah Raggio Verde

",/images/dewalt_products_resto/Laser3Linee360XRLitio108V20AhRaggioVerde.webp,N/A
Laser a Croce XR Litio 10.8V 2.0Ah Raggio Rosso,dce088d1r-qw,"Laser a Croce XR Litio 10.8V 2.0Ah Raggio Rosso

",/images/dewalt_products_resto/LaseraCroceXRLitio108V20AhRaggioRosso.webp,N/A
Laser 3 Linee 360° XR Litio 10.8V 2.0Ah Raggio Rosso,dce089d1r-qw,"Laser 3 Linee 360° XR Litio 10.8V 2.0Ah Raggio Rosso

",/images/dewalt_products_resto/Laser3Linee360XRLitio108V20AhRaggioRosso.webp,N/A
Rilevatore elettronico per laser a linee raggio verde,de0892g-xj,"Rilevatore elettronico per laser a linee raggio verde

",/images/dewalt_products_resto/Rilevatoreelettronicoperlaseralineeraggioverde.webp,N/A
Livella laser 2 linee verticali a 90° e orizzontale - Raggio rosso,dw089k-xj,"Livella laser 2 linee verticali a 90° e orizzontale - Raggio rosso

",/images/dewalt_products_resto/Livellalaser2lineeverticalia90eorizzontale-Raggiorosso.webp,N/A
Rilevatore elettronico per laser a linee raggio rosso,de0892-xj,"Rilevatore elettronico per laser a linee raggio rosso

",/images/dewalt_products_resto/Rilevatoreelettronicoperlaseralineeraggiorosso.webp,N/A
Livella laser 2 linee verticali a 90° e orizzontale - Raggio rosso con rilevatore DE0892,dw089kd-xj,"Livella laser 2 linee verticali a 90° e orizzontale - Raggio rosso con rilevatore DE0892

",/images/dewalt_products_resto/Livellalaser2lineeverticalia90eorizzontale-RaggiorossoconrilevatoreDE0892.webp,N/A
Livella laser linea verticale e orizzontale - Raggio rosso,dw088k-xj,"Livella laser linea verticale e orizzontale - Raggio rosso

",/images/dewalt_products_resto/Livellalaserlineaverticaleeorizzontale-Raggiorosso.webp,N/A
"Asta di supporto regolabile pavimento/soffitto attacco 1/4""",de0882-xj,"Asta di supporto regolabile pavimento/soffitto attacco 1/4""

",/images/dewalt_products_resto/Astadisupportoregolabilepavimentosoffittoattacco14.webp,N/A
Livella laser linea verticale e orizzontale - Raggio rosso + treppiede in alluminio,dw088ktri-xj,"Livella laser linea verticale e orizzontale - Raggio rosso + treppiede in alluminio

",/images/dewalt_products_resto/Livellalaserlineaverticaleeorizzontale-Raggiorossotreppiedeinalluminio.webp,N/A
Livello Ottico Autolivellante 26x,dw096pk-xj,"Livello Ottico Autolivellante 26x

",/images/dewalt_products_resto/LivelloOtticoAutolivellante26x.webp,N/A
Rilevatore laser digitale con morsetto,de0772-xj,"Rilevatore laser digitale con morsetto

",/images/dewalt_products_resto/Rilevatorelaserdigitaleconmorsetto.webp,N/A
Scheda di misurazione,de0730-xj,"Scheda di misurazione

",/images/dewalt_products_resto/Schedadimisurazione.webp,N/A
Tavolo di supporto universali per troncatrici,de1000-xj,"Tavolo di supporto universali per troncatrici

",/images/dewalt_products_resto/Tavolodisupportouniversalipertroncatrici.webp,N/A
Catena ricambio per elettrosega a catena potatore barra 20 cm compatibile con DCMPS520,dt20693-qz,"Catena ricambio per elettrosega a catena potatore barra 20 cm compatibile con DCMPS520

",/images/dewalt_products_resto/Catenaricambioperelettrosegaacatenapotatorebarra20cmcompatibileconDCMPS520.webp,N/A
"Rasaerba semovente XR FV 54V, motore BRUSHLESS, ampiezza taglio 53cm Ø 53 cm ad alta efficienza, Motore brushless autosensing a trasmissione diretta. Senza batteria e caricabatteria.",dcmwsp550n-xj,"Rasaerba semovente XR FV 54V, motore BRUSHLESS, ampiezza taglio 53cm Ø 53 cm ad alta efficienza, Motore brushless autosensing a trasmissione diretta. Senza batteria e caricabatteria.

",/images/dewalt_products_resto/RasaerbasemoventeXRFV54VmotoreBRUSHLESSampiezzataglio53cmØ53cmadaltaefficienzaMotorebrushlessautosensingatrasmissionedirettaSenzabatteriaecaricabatteria.webp,N/A
"Rasaerba a spinta XR 18Vx2, motore BRUSHLESS, funzionamento doppia batteria con output 36V, ampiezza taglio 53cm Ø 53 cm ad alta efficienza, Motore brushless autosensing a trasmissione diretta. Senza batteria e caricabatteria.",dcmwp134n-xj,"Rasaerba a spinta XR 18Vx2, motore BRUSHLESS, funzionamento doppia batteria con output 36V, ampiezza taglio 53cm Ø 53 cm ad alta efficienza, Motore brushless autosensing a trasmissione diretta. Senza batteria e caricabatteria.

Funzionamento silenzioso ed efficiente, senza scarico di gas o emissioni dirette, il tosaerba a spinta DEWALT 2x18V è dotato di doppio alloggiamento per 2 batterie 18V XR 8.0AH e un piatto ad alta efficienza da 53 cm per massimizzare l'efficienza energetica e prolungare l'autonomia. Dotato di un tappo per pacciamatura per la fertilizzazione naturale del prato, nonché di 2 lame per una migliore pacciamatura, oltre a un sacco in tessuto a rete con capacità di 67 litri per un prato estetico senza tagli. Il suo design ergonomico incorpora una semplice funzione di regolazione dell'altezza insieme a una semplice maniglia pieghevole one-touch che garantisce grande manovrabilità. La sua innovativa interfaccia utente indica lo stato di carica, nonché un misuratore di carico che aiuta a prolungare l'autonomia indicando quando il rasaerba utilizza maggiore potenza per tagliare l'erba più dura. Parte del sistema di batterie XR da 18 V, questo SKU è venduto come unità semplice, batterie e caricabatterie venduti separatamente.",/images/dewalt_products_resto/RasaerbaaspintaXR18Vx2motoreBRUSHLESSfunzionamentodoppiabatteriaconoutput36Vampiezzataglio53cmØ53cmadaltaefficienzaMotorebrushlessautosensingatrasmissionedirettaSenzabatteriaecaricabatteria.webp,N/A
"Rasaerba semovente XR 18Vx2, motore BRUSHLESS, funzionamento doppia batteria con output 36V, ampiezza taglio 53cm Ø 53 cm ad alta efficienza, Motore brushless autosensing a trasmissione diretta. Senza batteria e caricabatteria.",dcmwsp156n-xj,"Rasaerba semovente XR 18Vx2, motore BRUSHLESS, funzionamento doppia batteria con output 36V, ampiezza taglio 53cm Ø 53 cm ad alta efficienza, Motore brushless autosensing a trasmissione diretta. Senza batteria e caricabatteria.

Funzionamento silenzioso ed efficiente, senza scarico di gas o emissioni dirette, il tosaerba semovente DEWALT 2x18V è dotato di doppio alloggiamento per 2 batterie 18V XR 8.0AH e un piatto ad alta efficienza da 53 cm per massimizzare l'efficienza energetica e prolungare l'autonomia. Dotato di un tappo per pacciamatura per la fertilizzazione naturale del prato, nonché di 2 lame per una migliore pacciamatura, oltre a un sacco in tessuto a rete con capacità di 67 litri per un prato estetico senza tagli. Il suo design ergonomico incorpora una semplice funzione di regolazione dell'altezza insieme a una semplice maniglia pieghevole one-touch che garantisce grande manovrabilità. La sua innovativa interfaccia utente indica lo stato di carica, nonché un misuratore di carico che aiuta a prolungare l'autonomia indicando quando il rasaerba utilizza maggiore potenza per tagliare l'erba più dura. Parte del sistema di batterie XR da 18 V, questo SKU è venduto come unità semplice, batterie e caricabatterie venduti separatamente.",/images/dewalt_products_resto/RasaerbasemoventeXR18Vx2motoreBRUSHLESSfunzionamentodoppiabatteriaconoutput36Vampiezzataglio53cmØ53cmadaltaefficienzaMotorebrushlessautosensingatrasmissionedirettaSenzabatteriaecaricabatteria.webp,N/A
Barra ricambio per elettrosega a catena potatore barra 20 cm compatibile con DCMPS520,dt20694-qz,"Barra ricambio per elettrosega a catena potatore barra 20 cm compatibile con DCMPS520

",/images/dewalt_products_resto/Barraricambioperelettrosegaacatenapotatorebarra20cmcompatibileconDCMPS520.webp,N/A
"Rasaerba a spinta XR FV 54V, motore BRUSHLESS, ampiezza taglio 53cm Ø 53 cm ad alta efficienza, Motore brushless autosensing a trasmissione diretta. Senza batteria e caricabatteria.",dcmwp500n-xj,"Rasaerba a spinta XR FV 54V, motore BRUSHLESS, ampiezza taglio 53cm Ø 53 cm ad alta efficienza, Motore brushless autosensing a trasmissione diretta. Senza batteria e caricabatteria.

Funzionamento silenzioso ed efficiente, senza scarico di gas o emissioni dirette, il rasaerba semovente DEWALT 54V è dotato di una scrivania ad alta efficienza da 53 cm per massimizzare l'efficienza energetica e prolungare l'autonomia. Il design semplice e liscio della maniglia pieghevole con un solo tocco per un comodo trasporto da un sito all'altro o per lo stoccaggio e la facile regolazione dell'altezza di taglio garantiscono un'ergonomia eccellente. La sua innovativa interfaccia utente indica lo stato di carica, nonché un misuratore di carico che aiuta a prolungare l'autonomia indicando quando il rasaerba utilizza maggiore potenza per tagliare l'erba più dura. Dotato di un tappo per pacciamatura per la fertilizzazione naturale del prato, nonché di 2 lame per una migliore pacciamatura, oltre a un sacco in tessuto a rete con capacità di 67 litri per un prato estetico senza tagli. Parte del sistema di batterie XR FLEXVOLT da 54 V, che può alimentare sia la tua gamma di strumenti e attrezzature XR da 54 V sia i tuoi strumenti da 18 V e può essere ricaricato con i caricabatterie da 18 V. Questo SKU è venduto come unità semplice, batterie e caricabatterie venduti separatamente.",/images/dewalt_products_resto/RasaerbaaspintaXRFV54VmotoreBRUSHLESSampiezzataglio53cmØ53cmadaltaefficienzaMotorebrushlessautosensingatrasmissionedirettaSenzabatteriaecaricabatteria.webp,N/A
"Elettrosega a catena per potatura 20 cm XR 18V motore BRUSHLESS, lunghezza barra 20 cm, : 1 batteria XR 18V 5Ah, caricabatterie, coprilama, chiave servizio.",dcmps520p1-qw,"Elettrosega a catena per potatura 20 cm XR 18V motore BRUSHLESS, lunghezza barra 20 cm, : 1 batteria XR 18V 5Ah, caricabatterie, coprilama, chiave servizio.

Leggera e compatta, la motosega da potatura a batteria XR da 18 V è dotata di un motore brushless ad alta efficienza progettato per massimizzare l'autonomia e la durata del motore con un massimo di 70 tagli per carica.* Con un peso di soli 2,08 kg (solo utensile), la motosega da potatura è più leggera del 61%* * e 3 volte più compatto,** progettato per ridurre l'affaticamento durante le operazioni di taglio, rifinitura e potatura. Usalo per tagliare i rami degli alberi abbattuti, tagliare fasci di legno o rami e gestire i cespugli spessi o le esigenze di potatura quotidiana. Il design compatto consente un facile accesso agli spazi ristretti. La protezione della punta integrata è progettata per fornire stabilità durante i tagli e la chiave integrata per un tensionamento facile e veloce. Parte del sistema di batterie XR da 18 V.",/images/dewalt_products_resto/Elettrosegaacatenaperpotatura20cmXR18VmotoreBRUSHLESSlunghezzabarra20cm1batteriaXR18V5Ahcaricabatteriecoprilamachiaveservizio.webp,N/A
"Idro-pulitrice 2x18V - unità senza batteria e caricabatterie - Motore BRUSHLESS 2x18V, 3 velocità 70-85-110 bar, 273LPH, - solo corpo macchina",dcmpw1600n-xj,"Idro-pulitrice 2x18V - unità senza batteria e caricabatterie - Motore BRUSHLESS 2x18V, 3 velocità 70-85-110 bar, 273LPH, - solo corpo macchina

",/images/dewalt_products_resto/Idro-pulitrice2x18V-unitàsenzabatteriaecaricabatterie-MotoreBRUSHLESS2x18V3velocità70-85-110bar273LPH-solocorpomacchina.webp,N/A
Potatore manuale 18V XR 5.0Ah,dcmpp568p1-qw,"Potatore manuale 18V XR 5.0Ah

",/images/dewalt_products_resto/Potatoremanuale18VXR50Ah.webp,N/A
Potatore manuale 18V XR,dcmpp568n-xj,"Potatore manuale 18V XR

",/images/dewalt_products_resto/Potatoremanuale18VXR.webp,N/A
Potatore manuale 18V XR,dcmpp568n-xj,"Potatore manuale 18V XR

",/images/dewalt_products_resto/Potatoremanuale18VXR.webp,N/A
